Jacek Oracz|Lukasz Pyda|under|1783787100
Jacek Oracz|Lukasz Pyda|under|1783821600
Jacek Oracz|Michal Machelski|under|1783797000
Jacek Oracz|Michal Machelski|under|1783818600
Jacek Oracz|Pawel Chojnacki|under|1784828700
Jacek Oracz|Pawel Chojnacki|under|1784843100
Jacek Przewlocki|Krzysztof Kotyl|over|1784062800
Jacek Przewlocki|Krzysztof Kotyl|over|1784071200
Jacek Wieczerzak|Rafal Glica|over|1784379900
Jacek Zelezik|Miroslaw Warzecha|over|1784769000
Jacek Zelezik|Miroslaw Warzecha|under|1784741400
Jachym Sebl|Jan Srnka|under|1783499100
Jakub Chmielowski|Krystian Kolodziej|over|1784543400
Jakub Dufek Jnr|Jan Seeman|over|1783692000
Jakub Glanowski|Michal Minda|under|1784202600
Jakub Kaczmarek|Lukasz Oracz|under|1784185800
Jakub Kaczmarek|Marek Tkocz|under|1783490400
Jakub Kaczmarek|Marian Lebek|over|1784777700
Jakub Kaczmarek|Oliver Vincenec|under|1784793600
Jakub Kaczmarek|Piotr Gumulinski|over|1784727000
Jakub Komorowicz|Kamil Kos|over|1783793100
Jakub Komorowicz|Wiekiera Arkadiusz|over|1783798500
Jakub Kosowski|Jan Zandecki|over|1783927200
Jakub Kosowski|Jan Zandecki|over|1783951800
Jakub Kosowski|Martin Olejnik|under|1784616900
Jakub Kosowski|Martin Olejnik|under|1784625600
Jakub Lysek|Martin Sobota|over|1783750200
Jakub Michalski|Robert Szymik|under|1783799700
Jakub Michalski|Robert Szymik|under|1783821300
Jakub Nowak|Wojciech Pytlas|under|1784831100
Jakub Nowak|Wojciech Urban|under|1784826600
Jakub Pruszkowski|Krzysztof Hetnar|over|1784184300
Jakub Skorupa|Marian Brunner|over|1784694000
Jakub Skorupa|Pawel Chojnacki|under|1784476200
Jakub Skorupa|Pawel Chojnacki|under|1784504700
Jakub Skorupa|Pawel Chojnacki|under|1784765400
Jakub Skorupa|Pawel Chojnacki|under|1784825700
Jakub Skorupa|Pawel Chojnacki|under|1784847300
Jakub Volny|Michal Raska|over|1783714200
Jakub Volny|Michal Raska|over|1783716000
Jakub Zochniak|Kamil Rudomina|over|1784172300
Jakub Zochniak|Kamil Rudomina|over|1784180400
Jakub Zochniak|Kamil Rudomina|under|1784180400
Jakub Zochniak|Michal Minda|under|1784801100
